ticker,sector
AAPL,Technology
MSFT,Technology
NVDA,Technology
GOOGL,Communication Services
META,Communication Services
AMZN,Consumer Cyclical
JPM,Financial Services
XOM,Energy
CVX,Energy
UNH,Healthcare
BAC,Financial Services
GS,Financial Services
MS,Financial Services
WFC,Financial Services
COP,Energy
JNJ,Healthcare
PFE,Healthcare
HD,Consumer Cyclical
PG,Consumer Defensive
KO,Consumer Defensive
PEP,Consumer Defensive
MA,Financial Services
V,Financial Services
ADBE,Technology
CRM,Technology
LIN,Basic Materials
NKE,Consumer Cyclical
MCD,Consumer Cyclical
CSCO,Technology
AVGO,Technology
CAT,Industrials
BA,Industrials
GE,Industrials
HON,Industrials
MRK,Healthcare
LOW,Consumer Cyclical
COST,Consumer Defensive
T,Communication Services
INTC,Technology
QCOM,Technology
TXN,Technology
ORCL,Technology
AMD,Technology
AMAT,Technology
NOW,Technology
PANW,Technology
SHOP,Technology
INTU,Technology
C,Financial Services
BLK,Financial Services
SCHW,Financial Services
BX,Financial Services
AXP,Financial Services
PYPL,Financial Services
SPGI,Financial Services
ICE,Financial Services
MCO,Financial Services
CME,Financial Services
AON,Financial Services
CB,Financial Services
TRV,Financial Services
SLB,Energy
EOG,Energy
PSX,Energy
MPC,Energy
OKE,Energy
WMB,Energy
HAL,Energy
ABBV,Healthcare
LLY,Healthcare
TMO,Healthcare
DHR,Healthcare
ABT,Healthcare
BMY,Healthcare
TGT,Consumer Defensive
WMT,Consumer Defensive
SBUX,Consumer Cyclical
BKNG,Consumer Cyclical
MAR,Consumer Cyclical
CL,Consumer Defensive
KMB,Consumer Defensive
MDLZ,Consumer Defensive
PM,Consumer Defensive
MO,Consumer Defensive
EL,Consumer Defensive
KR,Consumer Defensive
DE,Industrials
UPS,Industrials
FDX,Industrials
LMT,Industrials
RTX,Industrials
VZ,Communication Services
CMCSA,Communication Services
DIS,Communication Services
NFLX,Communication Services
TMUS,Communication Services
CHTR,Communication Services
D,Utilities
NEE,Utilities
DUK,Utilities
